,submissionid,assignid,userid,reviewedbyid,grade,score,maxscore,abs_error,reviewer_avg_error_all,reviewer_review_count,reviewer_std_dev_error,reviewer_avg_error_on_assign,reviewer_review_count_on_assign
0,1,1,201,102,76,74,100,2,5.1,20,2.84512510131018,4.2,5
1,1,1,201,110,76,72,100,4,4.615384615384615,13,2.9871519752227074,6.0,2
2,1,1,201,109,76,83,100,7,5.235294117647059,17,3.011009211309098,5.6,5
3,2,1,202,103,89,80,100,9,5.333333333333333,12,3.200378765462651,4.75,4
4,2,1,202,108,89,98,100,9,5.181818181818182,22,3.2606800873490536,5.5,2
5,2,1,202,105,89,93,100,4,5.071428571428571,14,2.6447127432871596,5.5,2
6,3,1,203,105,98,91,100,7,5.071428571428571,14,2.6447127432871596,5.5,2
7,3,1,203,109,98,89,100,9,5.235294117647059,17,3.011009211309098,5.6,5
8,3,1,203,102,98,93,100,5,5.1,20,2.84512510131018,4.2,5
9,4,1,204,101,84,77,100,7,6.0,12,2.9848100289785457,7.0,1
10,4,1,204,103,84,87,100,3,5.333333333333333,12,3.200378765462651,4.75,4
11,4,1,204,107,84,89,100,5,5.7272727272727275,11,2.7961011816781274,6.5,2
12,5,1,205,103,80,84,100,4,5.333333333333333,12,3.200378765462651,4.75,4
13,5,1,205,102,80,82,100,2,5.1,20,2.84512510131018,4.2,5
14,5,1,205,109,80,78,100,2,5.235294117647059,17,3.011009211309098,5.6,5
15,6,1,206,102,77,85,100,8,5.1,20,2.84512510131018,4.2,5
16,6,1,206,106,77,83,100,6,5.0,18,2.9505732244669303,4.25,4
17,6,1,206,103,77,74,100,3,5.333333333333333,12,3.200378765462651,4.75,4
18,7,1,207,104,98,94,100,4,5.454545454545454,11,3.958879547640629,4.666666666666667,3
19,7,1,207,108,98,96,100,2,5.181818181818182,22,3.2606800873490536,5.5,2
20,7,1,207,106,98,95,100,3,5.0,18,2.9505732244669303,4.25,4
21,8,1,208,104,90,82,100,8,5.454545454545454,11,3.958879547640629,4.666666666666667,3
22,8,1,208,109,90,80,100,10,5.235294117647059,17,3.011009211309098,5.6,5
23,8,1,208,110,90,82,100,8,4.615384615384615,13,2.9871519752227074,6.0,2
24,9,1,209,106,76,75,100,1,5.0,18,2.9505732244669303,4.25,4
