,submissionid,assignid,userid,reviewedbyid,grade,score,maxscore,abs_error,reviewer_avg_error_all,reviewer_review_count,reviewer_std_dev_error,reviewer_avg_error_on_assign,reviewer_review_count_on_assign
0,1,1,201,103,76,76,100,0,3.923076923076923,13,2.9569561619323586,0.0,1
1,1,1,201,101,76,72,100,4,5.5,18,3.451342449813167,6.0,4
2,1,1,201,106,76,78,100,2,5.944444444444445,18,4.249182927993988,7.2,5
3,2,1,202,102,89,77,100,12,6.296296296296297,27,3.5714122913751853,7.125,8
4,2,1,202,110,89,81,100,8,7.238095238095238,21,3.6042303187332787,6.2,5
5,2,1,202,105,89,86,100,3,5.3076923076923075,13,3.1460190554788277,3.4,5
6,3,1,203,114,98,88,100,10,5.066666666666666,15,3.65409098851971,6.333333333333333,3
7,3,1,203,106,98,86,100,12,5.944444444444445,18,4.249182927993988,7.2,5
8,3,1,203,111,98,88,100,10,6.684210526315789,19,4.123814733134404,9.0,4
9,4,1,204,111,84,81,100,3,6.684210526315789,19,4.123814733134404,9.0,4
10,4,1,204,102,84,84,100,0,6.296296296296297,27,3.5714122913751853,7.125,8
11,4,1,204,104,84,90,100,6,6.37037037037037,27,3.4322917679921647,5.8,5
12,5,1,205,106,80,74,100,6,5.944444444444445,18,4.249182927993988,7.2,5
13,5,1,205,102,80,86,100,6,6.296296296296297,27,3.5714122913751853,7.125,8
14,5,1,205,113,80,89,100,9,6.944444444444445,18,3.207935422230724,6.0,2
15,6,1,206,111,77,65,100,12,6.684210526315789,19,4.123814733134404,9.0,4
16,6,1,206,115,77,65,100,12,6.5,24,3.451527702085103,7.5,4
17,6,1,206,101,77,84,100,7,5.5,18,3.451342449813167,6.0,4
18,7,1,207,104,98,100,100,2,6.37037037037037,27,3.4322917679921647,5.8,5
19,7,1,207,110,98,100,100,2,7.238095238095238,21,3.6042303187332787,6.2,5
20,7,1,207,112,98,94,100,4,6.142857142857143,28,3.6282256219839977,7.666666666666667,3
21,8,1,208,109,90,94,100,4,5.0,23,3.6431754380934325,4.666666666666667,3
22,8,1,208,108,90,79,100,11,7.2,20,4.060075187273727,10.333333333333334,6
23,8,1,208,106,90,79,100,11,5.944444444444445,18,4.249182927993988,7.2,5
24,9,1,209,110,76,86,100,10,7.238095238095238,21,3.6042303187332787,6.2,5
25,9,1,209,109,76,67,100,9,5.0,23,3.6431754380934325,4.666666666666667,3
26,9,1,209,108,76,86,100,10,7.2,20,4.060075187273727,10.333333333333334,6
27,10,1,210,107,95,88,100,7,6.625,16,3.461695153148719,8.5,2
28,10,1,210,110,95,98,100,3,7.238095238095238,21,3.6042303187332787,6.2,5
29,10,1,210,112,95,85,100,10,6.142857142857143,28,3.6282256219839977,7.666666666666667,3
30,11,1,211,108,88,82,100,6,7.2,20,4.060075187273727,10.333333333333334,6
31,11,1,211,102,88,93,100,5,6.296296296296297,27,3.5714122913751853,7.125,8
32,11,1,211,105,88,83,100,5,5.3076923076923075,13,3.1460190554788277,3.4,5
33,12,1,212,115,92,99,100,7,6.5,24,3.451527702085103,7.5,4
34,12,1,212,104,92,96,100,4,6.37037037037037,27,3.4322917679921647,5.8,5
35,12,1,212,108,92,81,100,11,7.2,20,4.060075187273727,10.333333333333334,6
36,13,1,213,108,80,68,100,12,7.2,20,4.060075187273727,10.333333333333334,6
37,13,1,213,111,80,91,100,11,6.684210526315789,19,4.123814733134404,9.0,4
38,13,1,213,102,80,87,100,7,6.296296296296297,27,3.5714122913751853,7.125,8
39,14,1,214,102,80,85,100,5,6.296296296296297,27,3.5714122913751853,7.125,8
40,14,1,214,109,80,81,100,1,5.0,23,3.6431754380934325,4.666666666666667,3
41,14,1,214,105,80,85,100,5,5.3076923076923075,13,3.1460190554788277,3.4,5
42,15,1,215,115,93,97,100,4,6.5,24,3.451527702085103,7.5,4
43,15,1,215,108,93,81,100,12,7.2,20,4.060075187273727,10.333333333333334,6
44,15,1,215,113,93,96,100,3,6.944444444444445,18,3.207935422230724,6.0,2
45,16,1,216,104,90,78,100,12,6.37037037037037,27,3.4322917679921647,5.8,5
46,16,1,216,101,90,92,100,2,5.5,18,3.451342449813167,6.0,4
47,16,1,216,102,90,78,100,12,6.296296296296297,27,3.5714122913751853,7.125,8
48,17,1,217,110,73,81,100,8,7.238095238095238,21,3.6042303187332787,6.2,5
49,17,1,217,115,73,66,100,7,6.5,24,3.451527702085103,7.5,4
50,17,1,217,107,73,63,100,10,6.625,16,3.461695153148719,8.5,2
51,18,1,218,102,77,67,100,10,6.296296296296297,27,3.5714122913751853,7.125,8
52,18,1,218,106,77,82,100,5,5.944444444444445,18,4.249182927993988,7.2,5
53,18,1,218,114,77,74,100,3,5.066666666666666,15,3.65409098851971,6.333333333333333,3
54,19,1,219,101,93,82,100,11,5.5,18,3.451342449813167,6.0,4
55,19,1,219,105,93,97,100,4,5.3076923076923075,13,3.1460190554788277,3.4,5
56,19,1,219,104,93,88,100,5,6.37037037037037,27,3.4322917679921647,5.8,5
57,20,1,220,114,72,66,100,6,5.066666666666666,15,3.65409098851971,6.333333333333333,3
58,20,1,220,112,72,63,100,9,6.142857142857143,28,3.6282256219839977,7.666666666666667,3
59,20,1,220,105,72,72,100,0,5.3076923076923075,13,3.1460190554788277,3.4,5
60,21,2,201,105,91,100,100,9,5.3076923076923075,13,3.1460190554788277,8.0,3
61,21,2,201,115,91,100,100,9,6.5,24,3.451527702085103,6.4,5
62,21,2,201,113,91,95,100,4,6.944444444444445,18,3.207935422230724,3.6666666666666665,3
63,22,2,202,102,90,81,100,9,6.296296296296297,27,3.5714122913751853,5.333333333333333,6
64,22,2,202,103,90,83,100,7,3.923076923076923,13,2.9569561619323586,4.666666666666667,3
65,22,2,202,109,90,90,100,0,5.0,23,3.6431754380934325,4.333333333333333,6
66,23,2,203,112,71,81,100,10,6.142857142857143,28,3.6282256219839977,6.666666666666667,6
67,23,2,203,111,71,63,100,8,6.684210526315789,19,4.123814733134404,7.5,6
68,23,2,203,105,71,79,100,8,5.3076923076923075,13,3.1460190554788277,8.0,3
69,24,2,204,108,93,81,100,12,7.2,20,4.060075187273727,6.2,5
70,24,2,204,103,93,96,100,3,3.923076923076923,13,2.9569561619323586,4.666666666666667,3
71,24,2,204,111,93,87,100,6,6.684210526315789,19,4.123814733134404,7.5,6
72,25,2,205,104,81,85,100,4,6.37037037037037,27,3.4322917679921647,4.0,4
73,25,2,205,109,81,82,100,1,5.0,23,3.6431754380934325,4.333333333333333,6
74,25,2,205,112,81,88,100,7,6.142857142857143,28,3.6282256219839977,6.666666666666667,6
75,26,2,206,108,99,100,100,1,7.2,20,4.060075187273727,6.2,5
76,26,2,206,109,99,91,100,8,5.0,23,3.6431754380934325,4.333333333333333,6
77,26,2,206,102,99,90,100,9,6.296296296296297,27,3.5714122913751853,5.333333333333333,6
78,27,2,207,109,75,79,100,4,5.0,23,3.6431754380934325,4.333333333333333,6
79,27,2,207,115,75,82,100,7,6.5,24,3.451527702085103,6.4,5
80,27,2,207,111,75,86,100,11,6.684210526315789,19,4.123814733134404,7.5,6
81,28,2,208,107,71,68,100,3,6.625,16,3.461695153148719,2.3333333333333335,3
82,28,2,208,114,71,69,100,2,5.066666666666666,15,3.65409098851971,3.0,2
83,28,2,208,106,71,70,100,1,5.944444444444445,18,4.249182927993988,3.6666666666666665,3
84,29,2,209,108,97,86,100,11,7.2,20,4.060075187273727,6.2,5
85,29,2,209,109,97,100,100,3,5.0,23,3.6431754380934325,4.333333333333333,6
86,29,2,209,104,97,93,100,4,6.37037037037037,27,3.4322917679921647,4.0,4
87,30,2,210,103,90,86,100,4,3.923076923076923,13,2.9569561619323586,4.666666666666667,3
88,30,2,210,106,90,100,100,10,5.944444444444445,18,4.249182927993988,3.6666666666666665,3
89,30,2,210,111,90,80,100,10,6.684210526315789,19,4.123814733134404,7.5,6
90,31,2,211,112,70,80,100,10,6.142857142857143,28,3.6282256219839977,6.666666666666667,6
91,31,2,211,109,70,60,100,10,5.0,23,3.6431754380934325,4.333333333333333,6
92,31,2,211,114,70,66,100,4,5.066666666666666,15,3.65409098851971,3.0,2
93,32,2,212,110,81,77,100,4,7.238095238095238,21,3.6042303187332787,6.0,2
94,32,2,212,102,81,75,100,6,6.296296296296297,27,3.5714122913751853,5.333333333333333,6
95,32,2,212,111,81,82,100,1,6.684210526315789,19,4.123814733134404,7.5,6
96,33,2,213,102,95,98,100,3,6.296296296296297,27,3.5714122913751853,5.333333333333333,6
97,33,2,213,112,95,89,100,6,6.142857142857143,28,3.6282256219839977,6.666666666666667,6
98,33,2,213,106,95,95,100,0,5.944444444444445,18,4.249182927993988,3.6666666666666665,3
99,34,2,214,101,91,87,100,4,5.5,18,3.451342449813167,8.333333333333334,3
100,34,2,214,104,91,88,100,3,6.37037037037037,27,3.4322917679921647,4.0,4
101,34,2,214,108,91,90,100,1,7.2,20,4.060075187273727,6.2,5
